City,Latitude,Longitude,Temperature,Cloudiness,Wind Speed,Humidity
anderson,34.5334,-82.6499,52.84,0,4.61,49
jalu,29.0331,21.5482,51.42,0,5.77,54
aklavik,68.2191,-135.0107,-24.88,7,9.17,95
markala,13.7021,-6.0659,67.86,8,9.42,17
emerald,-23.5333,148.1667,83.34,0,8.37,54
makakilo city,21.3469,-158.0858,78.4,0,12.66,57
malkapur,20.8833,76.2,59.38,8,5.01,31
westport,41.1415,-73.3579,44.91,0,5.99,70
umtata,-31.5889,28.7844,64.96,37,2.89,98
manokwari,-0.8667,134.0833,81.91,97,1.03,70
nanortalik,60.1432,-45.2371,29.8,100,10.33,75
snyder,32.7179,-100.9176,59.09,0,16.11,33
mikhaylovka,50.06,43.2379,35.78,100,12.44,86
lakes entrance,-37.8811,147.981,67.15,100,8.68,79
santiago del estero,-27.7951,-64.2615,65.57,100,11.1,88
el alto,-4.2714,-81.2147,70.81,0,12.41,78
marzuq,14.4,46.4667,59.79,9,2.75,44
barcelona,41.3888,2.159,50.72,75,6.91,83
samarai,-10.6167,150.6667,83.3,68,11.81,58
bathsheba,13.2167,-59.5167,77.61,20,20.71,57
yicheng,31.3705,119.8703,42.51,100,5.48,85
port blair,11.6667,92.75,75.24,75,2.3,88
qeshm,26.9581,56.2719,68.2,0,2.84,60
raudeberg,61.9875,5.1352,37.87,100,7.0,89
cervia,44.2657,12.3427,46.51,100,20.51,93
arumbavur,11.3833,78.7333,72.61,71,4.61,77
igrim,63.1906,64.4162,1.29,100,12.33,88
waiuku,-37.25,174.75,79.39,76,13.11,89
bonham,33.5773,-96.1783,61.36,0,12.66,40
wajima,37.4,136.9,42.91,100,7.36,63
redmond,47.674,-122.1215,48.85,95,1.01,78
dannenberg,53.0967,11.09,31.66,5,4.45,89
bontang,0.1333,117.5,75.54,99,5.5,89
tocopilla,-22.092,-70.1979,70.63,0,8.12,67
leningradskiy,69.3833,178.4167,-17.28,94,4.47,96
cape coast,5.1053,-1.2466,79.79,49,7.74,86
egvekinot,66.3167,-179.1667,-17.57,10,7.16,87
hualmay,-11.0964,-77.6139,71.1,90,8.9,81
srednekolymsk,67.45,153.6833,-29.31,45,6.24,97
artyshta,54.1222,86.2909,-14.24,12,2.46,97
fethiye,36.6217,29.1164,42.67,0,4.97,63
qasigiannguit,68.8193,-51.1922,26.85,100,3.83,87
puquio,-14.7,-74.1333,51.51,100,5.3,79
brookings,44.3114,-96.7984,5.34,0,24.16,71
alekseyevsk,57.8406,108.3492,-14.96,100,2.28,97
hami,42.8,93.45,28.36,100,4.59,57
greencastle,39.6445,-86.8647,37.08,40,10.36,91
monrovia,6.3005,-10.7969,76.77,9,4.85,91
russell,32.3502,-85.1999,50.68,0,4.61,64
rebrikha,53.0733,82.3408,-16.47,98,5.14,100
sawakin,19.1059,37.3321,68.27,99,13.22,67
loyga,61.0784,44.6075,16.68,100,4.59,98
lander,42.833,-108.7307,24.1,100,10.36,91
saint-ambroise,48.5501,-71.3324,24.89,100,7.74,93
